Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"July 15, 2020","July 15, 2020",Run,372,5.013170934,1468,4.881846268,0.482382884,12.29043138,124.3826572,0,3927,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4499065261
"July 14, 2020","July 14, 2020",Run,438,5.788021789,1771,5.099680367,0.529257884,11.76544727,113.3662147,0,4716,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4495843279
"July 6, 2020","July 6, 2020",Run,325,4.230144611,1423,5.606961594,1.063396017,10.70097887,56.42311784,154,3755,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4473486046
"July 2, 2020","July 2, 2020",Walk,38,0.667765106,510,12.71884693,5.082530522,4.717421787,11.8051337,147,922,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4460728252
"July 2, 2020","July 2, 2020",Run,392,5.031436988,1757,5.817917114,0.736511274,10.31296603,81.46499328,161,4620,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4460719072
"June 29, 2020","June 29, 2020",Walk,30,0.516198697,374,12.05491182,8.4815925,4.977218189,7.074129047,131,692,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4451814586
"June 29, 2020","June 29, 2020",Run,357,4.64744751,1554,5.569505339,0.776664281,10.77294874,77.2536619,154,4103,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4451794075
"June 27, 2020","June 27, 2020",Run,384,4.858915311,1760,6.036254524,0.297501964,9.939936188,201.6797714,147,4613,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4445109763
"June 24, 2020","June 24, 2020",Walk,16,0.27378482,235,14.28712569,5.310946572,4.199583168,11.29741785,126,406,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4435019092
"June 24, 2020","June 24, 2020",Run,346,4.514950218,1491,5.505162352,0.543307087,10.89886381,110.4347946,159,3941,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4435014976
"June 21, 2020","June 21, 2020",Walk,266,4.605862061,3741,13.53023344,0.654670474,4.434515205,91.64892211,0,6599,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4426666606
"June 21, 2020","June 21, 2020",Run,310,5.17610092,3338,10.74611767,0.529324371,5.583409793,113.3520525,0,8413,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4426402648
"June 19, 2020","June 19, 2020",Run,388,5.003160814,1725,5.745260181,0.619979321,10.44338727,96.77741864,160,4541,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4420381081
"June 16, 2020","June 16, 2020",Walk,31,0.533587659,374,11.62703561,8.646193729,5.160377629,6.939475235,127,702,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4408090486
"June 16, 2020","June 16, 2020",Run,326,4.252546679,1396,5.465177116,1.028151843,10.97860681,58.35706652,165,3692,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4408083346
"June 16, 2020","June 13, 2020",Bike Ride,2079,68.73492131,13857,3.359934234,0.086392965,17.85744196,694.4995284,0,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4408083475
"June 11, 2020","June 11, 2020",Walk,33,0.56513563,468,13.79829297,4.203358636,4.348367021,14.27430192,172,819,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4391135203
